11/2/2015 21:31, 	 5.719,	     98.328,	   5.693,      98.314
11/2/2015 21:41, 	 5.719,	     98.328,	   5.693,      98.314
11/2/2015 21:51, 	 5.719,	     98.328,	   5.719,      98.328
11/2/2015 22:01, 	 5.719,	     98.328,	   5.719,      98.328
11/2/2015 22:11, 	 5.719,	     98.328,	   5.719,      98.328
11/2/2015 22:21, 	 5.719,	     98.328,	   5.719,      98.328
11/2/2015 22:31, 	 5.745,	     98.342,	   5.719,      98.328
11/2/2015 22:41, 	 5.745,	     98.342,	   5.719,      98.328
11/2/2015 22:51, 	 5.745,	     98.342,	   5.719,      98.328
11/2/2015 23:01, 	 5.745,	     98.342,	   5.719,      98.328
11/2/2015 23:11, 	 5.745,	     98.342,	   5.719,      98.328
11/2/2015 23:21, 	 5.745,	     98.342,	   5.719,      98.328
11/2/2015 23:31, 	 5.745,	     98.342,	   5.719,      98.328
11/2/2015 23:41, 	 5.745,	     98.342,	   5.719,      98.328
11/2/2015 23:51, 	 5.719,	     98.328,	   5.719,      98.328
11/3/2015 0:01, 	5.745,	    98.342,	  5.719,      98.328
11/3/2015 0:11, 	5.745,	    98.342,	  5.719,      98.328
11/3/2015 0:21, 	5.745,	    98.342,	  5.719,      98.328
11/3/2015 0:31, 	5.745,	    98.342,	  5.745,      98.342
11/3/2015 0:41, 	5.745,	    98.342,	  5.745,      98.342
11/3/2015 0:51, 	5.745,	    98.342,	  5.745,      98.342
11/3/2015 1:01, 	5.745,	    98.342,	  5.745,      98.342
11/3/2015 1:11, 	5.745,	    98.342,	  5.745,      98.342
11/3/2015 1:21, 	5.745,	    98.342,	  5.745,      98.342
11/3/2015 1:31, 	5.745,	    98.342,	  5.745,      98.342
11/3/2015 1:41, 	5.745,	    98.342,	  5.745,      98.342
11/3/2015 1:51, 	5.745,	    98.342,	  5.745,      98.342
11/3/2015 2:01, 	5.745,	    98.342,	  5.745,      98.342
11/3/2015 2:11, 	5.745,	    98.342,	  5.745,      98.342
11/3/2015 2:21, 	5.745,	    98.342,	  5.745,      98.342
11/3/2015 2:31, 	5.745,	    98.342,	  5.745,      98.342
11/3/2015 2:41, 	5.745,	    98.342,	  5.745,      98.342
11/3/2015 2:51, 	5.745,	    98.342,	  5.745,      98.342
11/3/2015 3:01, 	5.745,	    98.342,	  5.719,      98.328
11/3/2015 3:11, 	5.745,	    98.342,	  5.719,      98.328
11/3/2015 3:21, 	5.745,	    98.342,	  5.719,      98.328
11/3/2015 3:31, 	5.745,	    98.342,	  5.745,      98.342
11/3/2015 3:41, 	5.745,	    98.342,	  5.745,      98.342
11/3/2015 3:51, 	5.745,	    98.342,	  5.745,      98.342
11/3/2015 4:01, 	5.745,	    98.342,	  5.745,      98.342
11/3/2015 4:11, 	5.719,	    98.328,	  5.719,      98.328
11/3/2015 4:21, 	5.719,	    98.328,	  5.719,      98.328
11/3/2015 4:31, 	5.719,	    98.328,	  5.719,      98.328
11/3/2015 4:41, 	5.719,	    98.328,	  5.719,      98.328
11/3/2015 4:51, 	5.693,	    98.314,	  5.693,      98.314
11/3/2015 5:01, 	5.668,	    98.301,	  5.668,      98.301
11/3/2015 5:11, 	5.668,	    98.301,	  5.668,      98.301
11/3/2015 5:21, 	5.642,	    98.287,	  5.642,      98.287
11/3/2015 5:31, 	5.591,	    98.260,	  5.591,      98.260
11/3/2015 5:41, 	5.539,	    98.233,	  5.565,      98.247
11/3/2015 5:51, 	5.539,	    98.233,	  5.539,      98.233
11/3/2015 6:01, 	5.514,	    98.220,	  5.514,      98.220
11/3/2015 6:11, 	5.514,	    98.220,	  5.488,      98.206
11/3/2015 6:21, 	5.488,	    98.206,	  5.514,      98.220
11/3/2015 6:31, 	5.514,	    98.220,	  5.514,      98.220
11/3/2015 6:41, 	5.488,	    98.206,	  5.488,      98.206
11/3/2015 6:51, 	5.514,	    98.220,	  5.488,      98.206
11/3/2015 7:01, 	5.488,	    98.206,	  5.514,      98.220
11/3/2015 7:11, 	5.514,	    98.220,	  5.514,      98.220
11/3/2015 7:21, 	5.514,	    98.220,	  5.514,      98.220
11/3/2015 7:31, 	5.514,	    98.220,	  5.514,      98.220
11/3/2015 7:41, 	5.514,	    98.220,	  5.514,      98.220
11/3/2015 7:51, 	5.514,	    98.220,	  5.514,      98.220
11/3/2015 8:01, 	5.514,	    98.220,	  5.514,      98.220
11/3/2015 8:11, 	5.514,	    98.220,	  5.514,      98.220
11/3/2015 8:21, 	5.488,	    98.206,	  5.514,      98.220
11/3/2015 8:31, 	5.488,	    98.206,	  5.488,      98.206
11/3/2015 8:41, 	5.488,	    98.206,	  5.488,      98.206
11/3/2015 8:51, 	5.488,	    98.206,	  5.488,      98.206
11/3/2015 9:01, 	5.462,	    98.192,	  5.462,      98.192
11/3/2015 9:11, 	5.437,	    98.179,	  5.437,      98.179
11/3/2015 9:21, 	5.411,	    98.165,	  5.437,      98.179
11/3/2015 9:31, 	5.411,	    98.165,	  5.385,      98.151
11/3/2015 9:41, 	5.385,	    98.151,	  5.385,      98.151
11/3/2015 9:51, 	5.385,	    98.151,	  5.385,      98.151
11/3/2015 10:01, 	 5.385,	     98.151,	   5.385,      98.151
